Name,Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
A3338,Male,65,176,70,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),1915,Maintain Weight,70,22.60,1470.45,Adult Male,25.8678,Normal,2537,2588,BALANCE DIET (55:25:20)
A3339,Male,65,176,74,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),3410,Gain Muscle,70,23.89,1525.45,Adult Male,27.4174,Normal,1831,2685,ZONE DIET (40:30:30)
A3340,Male,65,176,78,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),2643,Loose Weight,76,25.18,1580.45,Adult Male,28.9669,Overweight,2173,2782,LOW CARB DIET (25:35:40)
A3341,Male,65,176,82,2. Active or moderately active (Construction worker or person running one hour daily),3. Moderately active (moderate exercise/sports 3-5days/week),2389,Maintain Weight,88,26.47,1635.45,Adult Male,30.5165,Overweight,2535,2878,ZONE DIET (40:30:30)
A3342,Male,65,176,86,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),2231,Gain Muscle,78,27.76,1690.45,Adult Male,32.0661,Overweight,2916,2975,HIGH CARB DIET(60:20:20)
A3343,Male,65,176,90,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),2181,Loose Weight,93,29.05,1745.45,Adult Male,33.6157,Overweight,2095,3072,KETOGENIC DIET (5:35:60)
A3344,Male,65,176,94,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),3517,Maintain Weight,75,30.35,1800.45,Adult Male,35.1653,Obese,2476,3169,LOW CARB DIET (25:35:40)
A3345,Male,65,176,98,2. Active or moderately active (Construction worker or person running one hour daily),3. Moderately active (moderate exercise/sports 3-5days/week),3984,Gain Muscle,62,31.64,1855.45,Adult Male,36.7149,Obese,2876,3266,ZONE DIET (40:30:30)
A3346,Male,65,176,102,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),4270,Loose Weight,85,32.93,1910.45,Adult Male,38.2645,Obese,3296,3362,KETOGENIC DIET (5:35:60)
A3347,Male,65,182,50,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),2286,Maintain Weight,72,15.09,1225.47,Adult Male,16.8638,Underweight,1471,2157,BALANCE DIET (55:25:20)
A3348,Male,65,182,54,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),1600,Gain Muscle,72,16.30,1280.47,Adult Male,18.3129,Underweight,1761,2254,ZONE DIET (40:30:30)
A3349,Male,65,182,58,2. Active or moderately active (Construction worker or person running one hour daily),3. Moderately active (moderate exercise/sports 3-5days/week),2350,Loose Weight,81,17.51,1335.47,Adult Male,19.7620,Underweight,2070,2350,BALANCE DIET (55:25:20)
A3350,Male,65,182,62,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),2521,Maintain Weight,65,18.72,1390.47,Adult Male,21.2111,Normal,2399,2447,BALANCE DIET (55:25:20)
A3351,Male,65,182,66,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),2722,Gain Muscle,63,19.93,1445.47,Adult Male,22.6602,Normal,1735,2544,ZONE DIET (40:30:30)
A3352,Male,65,182,70,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),3301,Loose Weight,63,21.13,1500.47,Adult Male,24.1093,Normal,2063,2641,LOW CARB DIET (25:35:40)
A3353,Male,65,182,74,2. Active or moderately active (Construction worker or person running one hour daily),3. Moderately active (moderate exercise/sports 3-5days/week),3340,Maintain Weight,95,22.34,1555.47,Adult Male,25.5584,Normal,2411,2738,BALANCE DIET (55:25:20)
A3354,Male,65,182,78,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),3118,Gain Muscle,91,23.55,1610.47,Adult Male,27.0075,Normal,2778,2834,HIGH CARB DIET(60:20:20)
A3355,Male,65,182,82,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),2169,Loose Weight,84,24.76,1665.47,Adult Male,28.4566,Normal,1999,2931,LOW CARB DIET (25:35:40)
A3356,Male,65,182,86,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),2422,Maintain Weight,82,25.96,1720.47,Adult Male,29.9057,Overweight,2366,3028,ZONE DIET (40:30:30)
A3357,Male,65,182,90,2. Active or moderately active (Construction worker or person running one hour daily),3. Moderately active (moderate exercise/sports 3-5days/week),3844,Gain Muscle,66,27.17,1775.47,Adult Male,31.3548,Overweight,2752,3125,ZONE DIET (40:30:30)
A3358,Male,65,182,94,2. Active or moderately active (Construction worker or person running one hour daily),4. Very active (hard exercise/sports 6-7 days a week),2384,Loose Weight,94,28.38,1830.47,Adult Male,32.8039,Overweight,3158,3222,KETOGENIC DIET (5:35:60)
A3359,Male,65,182,98,2. Active or moderately active (Construction worker or person running one hour daily),1. Sedentary (little or no exercise),2588,Maintain Weight,81,29.59,1885.47,Adult Male,34.2530,Overweight,2263,3318,ZONE DIET (40:30:30)
A3360,Male,65,182,102,2. Active or moderately active (Construction worker or person running one hour daily),2. Lightly active (light exercise/sports 1-3 days/ week),4440,Gain Muscle,83,30.79,1940.47,Adult Male,35.7021,Obese,2668,3415,ZONE DIET (40:30:30)
A3361,Male,18,152,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),2382,Loose Weight,69,21.64,1392.87,Boy,17.8783,Normal,2159,3134,LOW CARB DIET (25:35:40)
A3362,Male,18,152,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),2965,Maintain Weight,85,23.37,1447.87,Boy,20.4926,Normal,2498,3258,BALANCE DIET (55:25:20)
A3363,Male,18,152,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),2401,Gain Muscle,74,25.10,1502.87,Boy,23.1069,Overweight,2592,3381,BALANCE DIET (55:25:20)
A3364,Male,18,152,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3891,Loose Weight,60,26.84,1557.87,Boy,25.7211,Overweight,1869,3505,LOW CARB DIET (25:35:40)
A3365,Male,18,152,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3556,Maintain Weight,67,28.57,1612.87,Boy,28.3354,Overweight,2218,3629,BALANCE DIET (55:25:20)
A3366,Male,18,152,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3002,Gain Muscle,72,30.30,1667.87,Boy,30.9497,Obese,2585,3753,HIGH CARB DIET(60:20:20)
A3367,Male,18,152,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4303,Loose Weight,86,32.03,1722.87,Boy,33.5639,Obese,2972,3876,KETOGENIC DIET (5:35:60)
A3368,Male,18,152,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4120,Maintain Weight,61,33.76,1777.87,Boy,36.1782,Obese,2133,4000,BALANCE DIET (55:25:20)
A3369,Male,18,152,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),5237,Gain Muscle,62,35.49,1832.87,Boy,38.7925,Obese,2520,4124,ZONE DIET (40:30:30)
A3370,Male,18,152,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),5352,Loose Weight,86,37.22,1887.87,Boy,41.4067,Obese,2926,4248,KETOGENIC DIET (5:35:60)
A3371,Male,18,152,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4284,Maintain Weight,67,38.95,1942.87,Boy,44.0210,Obese,3351,4371,BALANCE DIET (55:25:20)
A3372,Male,18,152,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),5484,Gain Muscle,94,40.69,1997.87,Boy,46.6352,Obese,2397,4495,ZONE DIET (40:30:30)
A3373,Male,18,152,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),5219,Loose Weight,89,42.42,2052.87,Boy,49.2495,Obese,2823,4619,KETOGENIC DIET (5:35:60)
A3374,Male,18,152,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4980,Maintain Weight,92,44.15,2107.87,Boy,51.8638,Obese,3267,4743,BALANCE DIET (55:25:20)
A3375,Male,18,158,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),2529,Gain Muscle,79,20.03,1422.88,Boy,15.4436,Normal,2454,3201,ZONE DIET (40:30:30)
A3376,Male,18,158,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3092,Loose Weight,95,21.63,1477.88,Boy,17.8630,Normal,1773,3325,LOW CARB DIET (25:35:40)
A3377,Male,18,158,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3725,Maintain Weight,78,23.23,1532.88,Boy,20.2825,Normal,2108,3449,BALANCE DIET (55:25:20)
A3378,Male,18,158,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4180,Gain Muscle,67,24.84,1587.88,Boy,22.7020,Normal,2461,3573,ZONE DIET (40:30:30)
A3379,Male,18,158,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3253,Loose Weight,68,26.44,1642.88,Boy,25.1215,Overweight,2834,3696,LOW CARB DIET (25:35:40)
A3380,Male,18,158,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),2827,Maintain Weight,90,28.04,1697.88,Boy,27.5410,Overweight,2037,3820,ZONE DIET (40:30:30)
A3381,Male,18,158,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4614,Gain Muscle,84,29.64,1752.88,Boy,29.9605,Overweight,2410,3944,ZONE DIET (40:30:30)
A3382,Male,18,158,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3824,Loose Weight,60,31.24,1807.88,Boy,32.3799,Obese,2802,4068,LOW CARB DIET (25:35:40)
A3383,Male,18,158,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3730,Maintain Weight,88,32.85,1862.88,Boy,34.7994,Obese,3213,4191,BALANCE DIET (55:25:20)
A3384,Male,18,158,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4833,Gain Muscle,76,34.45,1917.88,Boy,37.2189,Obese,2301,4315,ZONE DIET (40:30:30)
A3385,Male,18,158,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),5593,Loose Weight,65,36.05,1972.88,Boy,39.6384,Obese,2713,4439,LOW CARB DIET (25:35:40)
A3386,Male,18,158,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),5156,Maintain Weight,64,37.65,2027.88,Boy,42.0579,Obese,3143,4563,LOW CARB DIET (25:35:40)
A3387,Male,18,158,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4874,Gain Muscle,92,39.26,2082.88,Boy,44.4774,Obese,3593,4686,ZONE DIET (40:30:30)
A3388,Male,18,158,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),5676,Loose Weight,62,40.86,2137.88,Boy,46.8968,Obese,2565,4810,LOW CARB DIET (25:35:40)
A3389,Male,18,164,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),2746,Maintain Weight,88,18.59,1452.90,Boy,13.2711,Normal,1998,3269,BALANCE DIET (55:25:20)
A3390,Male,18,164,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4207,Gain Muscle,77,20.08,1507.90,Boy,15.5168,Normal,2337,3393,ZONE DIET (40:30:30)
A3391,Male,18,164,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3974,Loose Weight,65,21.56,1562.90,Boy,17.7625,Normal,2696,3517,LOW CARB DIET (25:35:40)
A3392,Male,18,164,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3859,Maintain Weight,80,23.05,1617.90,Boy,20.0081,Normal,1941,3640,BALANCE DIET (55:25:20)
A3393,Male,18,164,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3952,Gain Muscle,84,24.54,1672.90,Boy,22.2538,Normal,2300,3764,HIGH CARB DIET(60:20:20)
A3394,Male,18,164,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3771,Loose Weight,91,26.03,1727.90,Boy,24.4995,Overweight,2678,3888,KETOGENIC DIET (5:35:60)
A3395,Male,18,164,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4172,Maintain Weight,91,27.51,1782.90,Boy,26.7452,Overweight,3076,4012,ZONE DIET (40:30:30)
A3396,Male,18,164,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4921,Gain Muscle,61,29.00,1837.90,Boy,28.9909,Overweight,2205,4135,ZONE DIET (40:30:30)
A3397,Male,18,164,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),5409,Loose Weight,63,30.49,1892.90,Boy,31.2366,Obese,2603,4259,LOW CARB DIET (25:35:40)
A3398,Male,18,164,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),5698,Maintain Weight,64,31.98,1947.90,Boy,33.4823,Obese,3019,4383,LOW CARB DIET (25:35:40)
A3399,Male,18,164,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),5678,Gain Muscle,93,33.46,2002.90,Boy,35.7280,Obese,3455,4507,ZONE DIET (40:30:30)
A3400,Male,18,164,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),5186,Loose Weight,71,34.95,2057.90,Boy,37.9736,Obese,2469,4630,LOW CARB DIET (25:35:40)
A3401,Male,18,164,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),5134,Maintain Weight,72,36.44,2112.90,Boy,40.2193,Obese,2905,4754,BALANCE DIET (55:25:20)
A3402,Male,18,164,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4146,Gain Muscle,82,37.92,2167.90,Boy,42.4650,Obese,3360,4878,HIGH CARB DIET(60:20:20)
A3403,Male,18,170,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),2436,Loose Weight,89,17.30,1482.92,Boy,11.3246,Underweight,2558,3337,BALANCE DIET (55:25:20)
A3404,Male,18,170,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3910,Maintain Weight,90,18.69,1537.92,Boy,13.4145,Normal,1846,3460,BALANCE DIET (55:25:20)
A3405,Male,18,170,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3226,Gain Muscle,65,20.07,1592.92,Boy,15.5045,Normal,2190,3584,ZONE DIET (40:30:30)
A3406,Male,18,170,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4783,Loose Weight,93,21.45,1647.92,Boy,17.5945,Normal,2554,3708,LOW CARB DIET (25:35:40)
A3407,Male,18,170,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3870,Maintain Weight,83,22.84,1702.92,Boy,19.6844,Normal,2938,3832,BALANCE DIET (55:25:20)
A3408,Male,18,170,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3599,Gain Muscle,93,24.22,1757.92,Boy,21.7744,Normal,3032,3955,HIGH CARB DIET(60:20:20)
A3409,Male,18,170,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4405,Loose Weight,93,25.61,1812.92,Boy,23.8644,Overweight,2176,4079,KETOGENIC DIET (5:35:60)
A3410,Male,18,170,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3614,Maintain Weight,62,26.99,1867.92,Boy,25.9543,Overweight,2568,4203,BALANCE DIET (55:25:20)
A3411,Male,18,170,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3072,Gain Muscle,75,28.37,1922.92,Boy,28.0443,Overweight,2981,4327,HIGH CARB DIET(60:20:20)
A3412,Male,18,170,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3293,Loose Weight,61,29.76,1977.92,Boy,30.1343,Overweight,3412,4450,LOW CARB DIET (25:35:40)
A3413,Male,18,170,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3614,Maintain Weight,72,31.14,2032.92,Boy,32.2242,Obese,2440,4574,BALANCE DIET (55:25:20)
A3414,Male,18,170,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4933,Gain Muscle,78,32.53,2087.92,Boy,34.3142,Obese,2871,4698,ZONE DIET (40:30:30)
A3415,Male,18,170,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4002,Loose Weight,65,33.91,2142.92,Boy,36.4042,Obese,3322,4822,LOW CARB DIET (25:35:40)
A3416,Male,18,170,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3660,Maintain Weight,68,35.29,2197.92,Boy,38.4941,Obese,3791,4945,BALANCE DIET (55:25:20)
A3417,Male,18,176,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3302,Gain Muscle,73,16.14,1512.94,Boy,9.5737,Underweight,1816,3404,ZONE DIET (40:30:30)
A3418,Male,18,176,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4304,Loose Weight,61,17.43,1567.94,Boy,11.5236,Underweight,2156,3528,BALANCE DIET (55:25:20)
A3419,Male,18,176,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4126,Maintain Weight,83,18.72,1622.94,Boy,13.4735,Normal,2516,3652,BALANCE DIET (55:25:20)
A3420,Male,18,176,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3020,Gain Muscle,91,20.02,1677.94,Boy,15.4234,Normal,2894,3775,HIGH CARB DIET(60:20:20)
A3421,Male,18,176,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3899,Loose Weight,93,21.31,1732.94,Boy,17.3733,Normal,2080,3899,LOW CARB DIET (25:35:40)
A3422,Male,18,176,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4948,Maintain Weight,77,22.60,1787.94,Boy,19.3232,Normal,2458,4023,BALANCE DIET (55:25:20)
A3423,Male,18,176,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3483,Gain Muscle,85,23.89,1842.94,Boy,21.2731,Normal,2857,4147,HIGH CARB DIET(60:20:20)
A3424,Male,18,176,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4612,Loose Weight,77,25.18,1897.94,Boy,23.2230,Overweight,3274,4270,LOW CARB DIET (25:35:40)
A3425,Male,18,176,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4350,Maintain Weight,83,26.47,1952.94,Boy,25.1729,Overweight,2344,4394,ZONE DIET (40:30:30)
A3426,Male,18,176,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4021,Gain Muscle,81,27.76,2007.94,Boy,27.1228,Overweight,2761,4518,HIGH CARB DIET(60:20:20)
A3427,Male,18,176,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),5245,Loose Weight,94,29.05,2062.94,Boy,29.0727,Overweight,3198,4642,KETOGENIC DIET (5:35:60)
A3428,Male,18,176,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3669,Maintain Weight,72,30.35,2117.94,Boy,31.0226,Obese,3653,4765,BALANCE DIET (55:25:20)
A3429,Male,18,176,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),5231,Gain Muscle,72,31.64,2172.94,Boy,32.9725,Obese,2608,4889,ZONE DIET (40:30:30)
A3430,Male,18,176,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3710,Loose Weight,71,32.93,2227.94,Boy,34.9224,Obese,3063,5013,LOW CARB DIET (25:35:40)
A3431,Male,18,182,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),2847,Maintain Weight,85,15.09,1542.96,Boy,7.9931,Underweight,2392,3472,BALANCE DIET (55:25:20)
A3432,Male,18,182,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3200,Gain Muscle,91,16.30,1597.96,Boy,9.8166,Underweight,2756,3595,HIGH CARB DIET(60:20:20)
A3433,Male,18,182,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),2901,Loose Weight,72,17.51,1652.96,Boy,11.6400,Underweight,1984,3719,BALANCE DIET (55:25:20)
A3434,Male,18,182,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),4727,Maintain Weight,93,18.72,1707.96,Boy,13.4635,Normal,2348,3843,BALANCE DIET (55:25:20)
A3435,Male,18,182,66,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),4720,Gain Muscle,92,19.93,1762.96,Boy,15.2869,Normal,2733,3967,HIGH CARB DIET(60:20:20)
A3436,Male,18,182,70,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),3927,Loose Weight,79,21.13,1817.96,Boy,17.1104,Normal,3136,4090,LOW CARB DIET (25:35:40)
A3437,Male,18,182,74,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3624,Maintain Weight,67,22.34,1872.96,Boy,18.9338,Normal,2248,4214,BALANCE DIET (55:25:20)
A3438,Male,18,182,78,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3904,Gain Muscle,87,23.55,1927.96,Boy,20.7573,Normal,2651,4338,HIGH CARB DIET(60:20:20)
A3439,Male,18,182,82,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3659,Loose Weight,79,24.76,1982.96,Boy,22.5808,Normal,3074,4462,LOW CARB DIET (25:35:40)
A3440,Male,18,182,86,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),4310,Maintain Weight,78,25.96,2037.96,Boy,24.4042,Overweight,3515,4585,BALANCE DIET (55:25:20)
A3441,Male,18,182,90,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),4191,Gain Muscle,72,27.17,2092.96,Boy,26.2277,Overweight,2512,4709,HIGH CARB DIET(60:20:20)
A3442,Male,18,182,94,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),3576,Loose Weight,68,28.38,2147.96,Boy,28.0511,Overweight,2953,4833,LOW CARB DIET (25:35:40)
A3443,Male,18,182,98,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3916,Maintain Weight,60,29.59,2202.96,Boy,29.8746,Overweight,3415,4957,BALANCE DIET (55:25:20)
A3444,Male,18,182,102,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),5030,Gain Muscle,64,30.79,2257.96,Boy,31.6980,Obese,3895,5080,ZONE DIET (40:30:30)
A3445,Male,22,152,50,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),1. Sedentary (little or no exercise),3411,Loose Weight,68,21.64,1365.85,Adult Male,14.8295,Normal,1639,3073,LOW CARB DIET (25:35:40)
A3446,Male,22,152,54,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),2. Lightly active (light exercise/sports 1-3 days/ week),2366,Maintain Weight,94,23.37,1420.85,Adult Male,16.9071,Normal,1954,3197,BALANCE DIET (55:25:20)
A3447,Male,22,152,58,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),3. Moderately active (moderate exercise/sports 3-5days/week),3354,Gain Muscle,85,25.10,1475.85,Adult Male,18.9847,Overweight,2288,3321,ZONE DIET (40:30:30)
